data,vendas_saz,vendas_saz_preco_mes,vendas_saz_preco_ano,prod_auto_leve,prod_auto_leve_preco_atual_mes,prod_auto-leve_ano,expo_saz,expo_saz_preço_mes,expo__saz_preco_ano,expo_saz_sa,expo_saz_sa_mes,vendas_total_saz,vendas_total_saz_preco_mes,vendas_total_saz_preco_ano,prod_total,prod_total_preco_mes,prod_total_preco_ano,prod_total_sa,prod_total_sa_mes,prod_total_saz,prod_total_saz_preco_mes,prod_total_saz_preco_ano,vendas,vendas_preco_mes,vendas_preco_ano,vendas_sa,vendas_sa_mes,expo_auto,expo_preco_mes,expo_preco_ano,vendas_total,vendas_total_preco_mes,vendas_total_sa_mes,ano
2022-02-01,143411.0,4.93,-22.26,152590.0,13.34,-16.91,38102.0,0.42,28.8,36890.35,-1.35,181513.0,3.95,-15.2,165935.0,14.11,-15.78,177927.7,4.98,177019.0,-2.87,-17.88,117121.0,8.05,-23.78,142574.73,3.83,41449.0,49.59,25.36,158570.0,16.51,3.18,2022
2021-12-01,137217.0,1.13,-27.9,197101.0,3.87,-0.35,43563.0,53.04,7.15,43199.7,53.61,180780.0,10.13,-21.73,210925.0,2.53,0.78,235405.23,26.08,237531.0,21.54,-0.51,177865.0,19.93,-20.21,142831.34,4.62,41581.0,48.41,8.27,219446.0,24.46,12.0,2021
2018-08-01,199209.0,4.77,14.58,278414.0,18.87,8.84,55676.0,16.18,-16.46,55728.83,15.28,254885.0,7.07,5.98,291099.0,18.36,9.23,268057.94,10.74,262326.0,7.94,11.24,218208.0,14.76,13.03,203302.28,9.98,56104.0,12.87,-16.6,274312.0,14.37,9.71,2018
2019-08-01,205576.0,-1.68,3.2,256360.0,1.15,-7.92,36096.0,-11.53,-35.17,36084.64,-13.5,241673.0,-3.28,-5.18,269758.0,1.04,-7.33,247395.66,-6.92,245302.0,-4.77,-6.49,216858.0,-0.75,-0.62,200909.56,-6.09,36743.0,-12.7,-34.51,253601.0,-2.68,-8.05,2019
2019-12-01,211491.0,2.0,9.92,163338.0,-24.61,-3.36,31209.0,-0.74,-6.51,30519.04,-1.74,242701.0,1.64,7.49,170504.0,-25.04,-3.94,201889.81,-4.67,207891.0,-5.45,-4.63,233063.0,6.56,13.09,201199.53,-3.13,29006.0,-8.6,-8.52,262069.0,4.64,-3.86,2019
2019-07-01,209080.0,-4.19,9.96,253434.0,14.79,8.2,40799.0,14.05,-14.86,41715.68,17.56,249879.0,-1.62,4.97,266992.0,14.52,8.56,265797.03,11.82,257592.0,0.21,5.99,218492.0,8.98,14.9,213941.6,4.26,42089.0,4.1,-15.32,260581.0,8.16,6.8,2019
2021-03-01,166908.0,-9.52,11.35,185718.0,1.13,3.43,35234.0,19.1,24.61,35324.23,24.46,202141.0,-5.57,13.45,200340.0,1.68,5.47,202681.45,-2.99,177138.0,-17.82,4.64,172024.0,11.96,17.45,181722.42,0.88,36777.0,11.23,19.51,208801.0,11.83,2.02,2021
2020-01-01,189767.0,-10.27,-2.04,183136.0,12.12,-3.82,32873.0,5.33,-25.72,32986.03,8.08,222640.0,-8.27,-6.45,191731.0,12.45,-3.72,217961.84,7.96,223425.0,7.47,-3.96,171155.0,-26.56,-2.67,197471.3,-1.85,20549.0,-29.16,-32.09,191704.0,-26.85,0.16,2020
2018-01-01,176310.0,1.64,23.19,210565.0,-0.18,21.14,61613.0,-0.87,14.55,61739.76,0.18,237923.0,0.98,20.83,219217.0,-0.22,22.21,247462.56,-2.78,254245.0,-2.43,18.23,160277.0,-14.23,22.91,184705.0,17.6,46398.0,-24.11,21.7,206675.0,-16.66,13.83,2018
2019-03-01,209819.0,6.49,15.15,230773.0,-6.11,-9.42,35872.0,-2.47,-43.65,35866.05,0.7,245690.0,5.08,-0.07,240763.0,-6.66,-10.01,237759.81,-12.77,252658.0,2.71,1.34,186204.0,5.38,1.79,191992.27,-7.26,39098.0,-3.49,-42.07,225302.0,3.73,-7.17,2019
2022-11-01,161038.0,0.81,18.68,197706.0,5.54,4.19,43528.0,-1.21,52.91,43400.81,0.56,204566.0,0.38,24.62,215796.0,4.73,4.9,195432.12,1.82,205199.0,2.71,4.99,174009.0,9.53,17.33,162584.2,4.16,43437.0,1.57,55.03,217446.0,7.84,3.05,2022
2018-11-01,194441.0,-7.49,13.17,232659.0,-6.94,-4.74,33643.0,-18.62,-53.3,33515.55,-18.54,228085.0,-9.32,-6.47,244771.0,-7.0,-3.66,232022.86,-4.2,239317.0,-1.02,-4.45,205106.0,-9.12,12.31,195202.8,-11.05,34441.0,-11.08,-52.87,239547.0,-9.41,-11.51,2018
2022-06-01,153964.0,0.49,-4.04,187237.0,-0.91,23.76,44226.0,7.87,47.89,44194.0,5.47,198190.0,2.05,4.12,203598.0,-1.13,21.52,208071.08,4.87,207429.0,7.24,21.99,151203.0,-7.93,-4.34,154084.72,-1.11,47315.0,2.7,41.19,198518.0,-5.6,-0.4,2022
2020-03-01,149899.0,-27.93,-28.56,179560.0,-6.73,-22.19,28275.0,-16.72,-21.18,28151.6,-13.98,178175.0,-26.36,-27.48,189958.0,-6.98,-21.1,190811.08,-11.97,169288.0,-25.12,-33.0,146460.0,-18.6,-21.34,154695.81,-25.75,30772.0,-18.33,-21.3,177232.0,-18.55,-25.3,2020
